;title;link;synonyms;japanese;type;episodes;status;aired;premiered;broadcast;producers;licensors;studios;source;genres;themes;demographic;duration;rating;score;ranked;popularity;members;favorites;platforms;synopsis;theme;genre
40;JoJo no Kimyou na Bouken (TV);https://myanimelist.net/anime/14719/JoJo_no_Kimyou_na_Bouken_TV;JoJo no Kimyou na Bouken (2012),;ジョジョの奇妙な冒険;TV;26;Finished Airing;Oct 6, 2012 to Apr 6, 2013;Fall 2012;Saturdays at 00:30 (JST);['Yomiko Advertising', 'Warner Bros. Japan', 'Kamikaze Douga', 'KlockWorx', 'Shueisha'];VIZ Media, Warner Bros. Pictures;David Production;Manga;['Action', 'Adventure', 'Supernatural'];;Shounen;24 min. per ep.;R - 17+ (violence & profanity);7.90;#726;#63;1,528,257;35,157;['Crunchyroll', 'Netflix', ''];"The year is 1868; English nobleman George Joestar and his son Jonathan become indebted to Dario Brando after being rescued from a carriage incident. What the Joestars don't realize, however, is that Dario had no intention of helping them; he believed they were dead and was trying to ransack their belongings. After Dario's death 12 years later, George—hoping to repay his debt—adopts his son, Dio.  While he publicly fawns over his new father, Dio secretly plans to steal the Joestar fortune. His first step is to create a divide between George and Jonathan. By constantly outdoing his foster brother, Dio firmly makes his place in the Joestar family. But when Dio pushes Jonathan too far, Jonathan defeats him in a brawl.  Years later, the two appear to be close friends to the outside world. But trouble brews again when George falls ill, as Jonathan suspects that Dio is somehow behind the incident—and it appears he has more tricks up his sleeve.  [Written by MAL Rewrite]";Vampire;
41;Tengen Toppa Gurren Lagann;https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann;Tengen Toppa Gurren-Lagann, Making Break-Through Gurren Lagann, Heavenly Breakthrough Gurren Lagann, TTGL, Gurren Laggan;天元突破グレンラガン;TV;27;Finished Airing;Apr 1, 2007 to Sep 30, 2007;Spring 2007;Sundays at 08:30 (JST);['TV Tokyo', 'Aniplex', 'Dentsu', 'Konami', 'Half H.P Studio', 'Bandai'];ADV Films, Bandai Entertainment, Aniplex of America;Gainax;Original;['Action', 'Adventure', 'Award Winning', 'Sci-Fi'];;;24 min. per ep.;PG-13 - Teens 13 or older;8.63;#74;#64;1,520,526;74,772;['Crunchyroll', 'Funimation', ''];"Simon and Kamina were born and raised in a deep, underground village, hidden from the fabled surface. Kamina is a free-spirited loose cannon bent on making a name for himself, while Simon is a timid young boy with no real aspirations. One day while excavating the earth, Simon stumbles upon a mysterious object that turns out to be the ignition key to an ancient artifact of war, which the duo dubs Lagann. Using their new weapon, Simon and Kamina fend off a surprise attack from the surface with the help of Yoko Littner, a hot-blooded redhead wielding a massive gun who wanders the world above.  In the aftermath of the battle, the sky is now in plain view, prompting Simon and Kamina to set off on a journey alongside Yoko to explore the wastelands of the surface. Soon, they join the fight against the ""Beastmen,"" humanoid creatures that terrorize the remnants of humanity in powerful robots called ""Gunmen."" Although they face some challenges and setbacks, the trio bravely fights these new enemies alongside other survivors to reclaim the surface, while slowly unraveling a galaxy-sized mystery.  [Written by MAL Rewrite]";Mecha;
42;Black Clover;https://myanimelist.net/anime/34572/Black_Clover;;ブラッククローバー;TV;170;Finished Airing;Oct 3, 2017 to Mar 30, 2021;Fall 2017;Tuesdays at 18:25 (JST);['TV Tokyo', 'Avex Pictures', 'Shueisha'];Funimation, Crunchyroll;Pierrot;Manga;['Action', 'Comedy', 'Fantasy'];;Shounen;23 min. per ep.;PG-13 - Teens 13 or older;8.14;#413;#66;1,496,656;42,059;['Crunchyroll', 'Funimation', ''];"Asta and Yuno were abandoned at the same church on the same day. Raised together as children, they came to know of the ""Wizard King""—a title given to the strongest mage in the kingdom—and promised that they would compete against each other for the position of the next Wizard King. However, as they grew up, the stark difference between them became evident. While Yuno is able to wield magic with amazing power and control, Asta cannot use magic at all and desperately tries to awaken his powers by training physically.  When they reach the age of 15, Yuno is bestowed a spectacular Grimoire with a four-leaf clover, while Asta receives nothing. However, soon after, Yuno is attacked by a person named Lebuty, whose main purpose is to obtain Yuno's Grimoire. Asta tries to fight Lebuty, but he is outmatched. Though without hope and on the brink of defeat, he finds the strength to continue when he hears Yuno's voice. Unleashing his inner emotions in a rage, Asta receives a five-leaf clover Grimoire, a ""Black Clover"" giving him enough power to defeat Lebuty. A few days later, the two friends head out into the world, both seeking the same goal—to become the Wizard King!  [Written by MAL Rewrite]";;
43;Overlord;https://myanimelist.net/anime/29803/Overlord;;オーバーロード;TV;13;Finished Airing;Jul 7, 2015 to Sep 29, 2015;Summer 2015;Tuesdays at 23:00 (JST);['AT-X', 'Grooove', 'Hakuhodo DY Music & Pictures', 'Kadokawa'];Funimation;Madhouse;Light novel;['Action', 'Adventure', 'Fantasy'];;;24 min. per ep.;R - 17+ (violence & profanity);7.92;#701;#68;1,473,543;24,556;['Crunchyroll', 'Funimation', '', ''];The final hour of the popular virtual reality game Yggdrasil has come. However, Momonga, a powerful wizard and master of the dark guild Ainz Ooal Gown, decides to spend his last few moments in the game as the servers begin to shut down. To his surprise, despite the clock having struck midnight, Momonga is still fully conscious as his character and, moreover, the non-player characters appear to have developed personalities of their own!  Confronted with this abnormal situation, Momonga commands his loyal servants to help him investigate and take control of this new world, with the hopes of figuring out what has caused this development and if there may be others in the same predicament.  [Written by MAL Rewrite];Isekai;
44;Tate no Yuusha no Nariagari;https://myanimelist.net/anime/35790/Tate_no_Yuusha_no_Nariagari;;盾の勇者の成り上がり;TV;25;Finished Airing;Jan 9, 2019 to Jun 26, 2019;Winter 2019;Wednesdays at 22:00 (JST);['Frontier Works', 'AT-X', 'Nippon Columbia', 'Glovision', 'Good Smile Company', 'Sammy', 'Crunchyroll', 'Kadokawa Media House', 'NTT Plala', 'Kadokawa'];Funimation;Kinema Citrus;Light novel;['Action', 'Adventure', 'Drama', 'Fantasy'];;;24 min. per ep.;PG-13 - Teens 13 or older;7.99;#593;#69;1,457,992;25,361;['Crunchyroll', 'Funimation', ''];"The Four Cardinal Heroes are a group of ordinary men from modern-day Japan summoned to the kingdom of Melromarc to become its saviors. Melromarc is a country plagued by the Waves of Catastrophe that have repeatedly ravaged the land and brought disaster to its citizens for centuries. The four heroes are respectively bestowed a sword, spear, bow, and shield to vanquish these Waves. Naofumi Iwatani, an otaku, becomes cursed with the fate of being the ""Shield Hero."" Armed with only a measly shield, Naofumi is belittled and ridiculed by his fellow heroes and the kingdom's people due to his weak offensive capabilities and lackluster personality.  When the heroes are provided with resources and comrades to train with, Naofumi sets out with the only person willing to train alongside him, Malty Melromarc. He is soon betrayed by her, however, and becomes falsely accused of taking advantage of her. Naofumi then becomes heavily discriminated against and hated by the people of Melromarc for something he didn't do. With a raging storm of hurt and mistrust in his heart, Naofumi begins his journey of strengthening himself and his reputation. Further along however, the difficulty of being on his own sets in, so Naofumi buys a demi-human slave on the verge of death named Raphtalia to accompany him on his travels.  As the Waves approach the kingdom, Naofumi and Raphtalia must fight for the survival of the kingdom and protect the people of Melromarc from their ill-fated future.  [Written by MAL Rewrite]";Isekai;
45;Elfen Lied;https://myanimelist.net/anime/226/Elfen_Lied;Elfen Song, Elfic Song, Elf Song;エルフェンリート;TV;13;Finished Airing;Jul 25, 2004 to Oct 17, 2004;Summer 2004;Sundays at 22:30 (JST);['VAP', 'Genco', 'Studio Guts'];ADV Films;Arms;Manga;['Action', 'Drama', 'Horror', 'Romance', 'Supernatural'];['Gore', 'Psychological'];Seinen;25 min. per ep.;R+ - Mild Nudity;7.49;#1750;#70;1,440,581;23,282;['HIDIVE'];"Lucy is a special breed of human referred to as ""Diclonius,"" born with a short pair of horns and invisible telekinetic hands that lands her as a victim of inhumane scientific experimentation by the government. However, once circumstances present her an opportunity to escape, Lucy, corrupted by the confinement and torture, unleashes a torrent of bloodshed as she escapes her captors.  During her breakout, she receives a crippling head injury that leaves her with a split personality: someone with the mentality of a harmless child possessing limited speech capacity. In this state of instability, she stumbles upon two college students, Kouta and his cousin Yuka, who unknowingly take an injured fugitive into their care, unaware of her murderous tendencies. This act of kindness will change their lives, as they soon find themselves dragged into the shadowy world of government secrecy and conspiracy.  [Written by MAL Rewrite]";;
46;Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka;https://myanimelist.net/anime/28121/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka;DanMachi, Is It Wrong That I Want to Meet You in a Dungeon;ダンジョンに出会いを求めるのは間違っているだろうか;TV;13;Finished Airing;Apr 4, 2015 to Jun 27, 2015;Spring 2015;Saturdays at 01:05 (JST);['Genco', 'Movic', 'Warner Bros. Japan', 'KlockWorx', 'SoftBank Creative', 'Showgate', 'MAGES.', 'FuRyu'];Sentai Filmworks;J.C.Staff;Light novel;['Action', 'Adventure', 'Fantasy'];;;24 min. per ep.;PG-13 - Teens 13 or older;7.55;#1547;#71;1,435,123;11,299;['HIDIVE', 'Netflix'];"Life in the bustling city of Orario is never dull, especially for Bell Cranel, a naïve young man who hopes to become the greatest adventurer in the land. After a chance encounter with the lonely goddess, Hestia, his dreams become a little closer to reality. With her support, Bell embarks on a fantastic quest as he ventures deep within the city's monster-filled catacombs, known only as the ""Dungeon."" Death lurks around every corner in the cavernous depths of this terrifying labyrinth, and a mysterious power moves amidst the shadows.  Even on the surface, survival is a hard-earned privilege. Indeed, nothing is ever certain in a world where gods and humans live and work together, especially when they often struggle to get along. One thing is for sure, though: a myriad of blunders, triumphs and friendships awaits the dauntlessly optimistic protagonist of this herculean tale.  [Written by MAL Rewrite]";;
47;Highschool of the Dead;https://myanimelist.net/anime/8074/Highschool_of_the_Dead;Gakuen Mokushiroku: Highschool of the Dead, HOTD, HSOTD;学園黙示録 HIGHSCHOOL OF THE DEAD;TV;12;Finished Airing;Jul 5, 2010 to Sep 20, 2010;Summer 2010;Mondays at 11:30 (JST);['Geneon Universal Entertainment', 'AT-X', 'Showgate'];Sentai Filmworks;Madhouse;Manga;['Action', 'Horror', 'Supernatural', 'Ecchi'];['Gore', 'Survival'];Shounen;24 min. per ep.;R+ - Mild Nudity;7.08;#3697;#72;1,425,043;9,736;['HIDIVE', 'Netflix'];"It happened suddenly: The dead began to rise and Japan was thrown into total chaos. As these monsters begin terrorizing a high school, Takashi Kimuro is forced to kill his best friend when he gets bitten and joins the ranks of the walking dead. Vowing to protect Rei Miyamoto, the girlfriend of the man he just executed, they narrowly escape their death trap of a school, only to be greeted with a society that has already fallen.  Soon, Takashi and Rei band together with other students on a journey to find their family members and uncover what caused this overwhelming pandemic. Joining them is Saeko Busujima, the beautiful president of the Kendo Club; Kouta Hirano, an otaku with a fetish for firearms; Saya Takagi, the daughter of an influential politician; and Shizuka Marikawa, their hot school nurse. But will the combined strength of these individuals be enough to conquer this undead apocalypse?  [Written by MAL Rewrite]";;
48;Fate/Zero;https://myanimelist.net/anime/10087/Fate_Zero;;フェイト/ゼロ;TV;13;Finished Airing;Oct 2, 2011 to Dec 25, 2011;Fall 2011;Sundays at 00:00 (JST);['Aniplex', 'Nitroplus', 'Seikaisha', 'Notes'];Aniplex of America;ufotable;Light novel;['Action', 'Fantasy', 'Supernatural'];;;28 min. per ep.;R - 17+ (violence & profanity);8.28;#259;#73;1,422,675;32,844;['Crunchyroll', 'Funimation', ''];"With the promise of granting any wish, the omnipotent Holy Grail triggered three wars in the past, each too cruel and fierce to leave a victor. In spite of that, the wealthy Einzbern family is confident that the Fourth Holy Grail War will be different; namely, with a vessel of the Holy Grail now in their grasp. Solely for this reason, the much hated ""Magus Killer"" Kiritsugu Emiya is hired by the Einzberns, with marriage to their only daughter Irisviel as binding contract.  Kiritsugu now stands at the center of a cutthroat game of survival, facing off against six other participants, each armed with an ancient familiar, and fueled by unique desires and ideals. Accompanied by his own familiar, Saber, the notorious mercenary soon finds his greatest opponent in Kirei Kotomine, a priest who seeks salvation from the emptiness within himself in pursuit of Kiritsugu.  Based on the light novel written by Gen Urobuchi, Fate/Zero depicts the events of the Fourth Holy Grail War—10 years prior to Fate/stay night. Witness a battle royale in which no one is guaranteed to survive.  [Written by MAL Rewrite]";;
49;Fullmetal Alchemist;https://myanimelist.net/anime/121/Fullmetal_Alchemist;Hagane no Renkinjutsushi, FMA, Full Metal Alchemist;鋼の錬金術師;TV;51;Finished Airing;Oct 4, 2003 to Oct 2, 2004;Fall 2003;Saturdays at 18:00 (JST);['Aniplex', 'Dentsu', 'Square Enix', 'Mainichi Broadcasting System'];Funimation, Aniplex of America;Bones;Manga;['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy'];;Shounen;24 min. per ep.;R - 17+ (violence & profanity);8.12;#436;#74;1,405,923;25,221;['Netflix'];Edward Elric, a young, brilliant alchemist, has lost much in his twelve-year life: when he and his brother Alphonse try to resurrect their dead mother through the forbidden act of human transmutation, Edward loses his brother as well as two of his limbs. With his supreme alchemy skills, Edward binds Alphonse's soul to a large suit of armor.  A year later, Edward, now promoted to the fullmetal alchemist of the state, embarks on a journey with his younger brother to obtain the Philosopher's Stone. The fabled mythical object is rumored to be capable of amplifying an alchemist's abilities by leaps and bounds, thus allowing them to override the fundamental law of alchemy: to gain something, an alchemist must sacrifice something of equal value. Edward hopes to draw into the military's resources to find the fabled stone and restore his and Alphonse's bodies to normal. However, the Elric brothers soon discover that there is more to the legendary stone than meets the eye, as they are led to the epicenter of a far darker battle than they could have ever imagined.  [Written by MAL Rewrite];Military;
50;Mob Psycho 100 II;https://myanimelist.net/anime/37510/Mob_Psycho_100_II;Mob Psycho 100 2nd Season, Mob Psycho Hyaku, Mob Psycho One Hundred;モブサイコ100 II;TV;13;Finished Airing;Jan 7, 2019 to Apr 1, 2019;Winter 2019;Mondays at 23:00 (JST);['Warner Bros. Japan', 'KlockWorx', 'BS Fuji', 'Hakuhodo DY Music & Pictures', 'Shogakukan'];Funimation;Bones;Web manga;['Action', 'Comedy', 'Supernatural'];;;24 min. per ep.;PG-13 - Teens 13 or older;8.81;#30;#76;1,385,774;31,248;['Crunchyroll'];"Shigeo ""Mob"" Kageyama is now maturing and understanding his role as a supernatural psychic that has the power to drastically affect the livelihood of others. He and his mentor Reigen Arataka continue to deal with supernatural requests from clients, whether it be exorcizing evil spirits or tackling urban legends that haunt the citizens.  While the workflow remains the same, Mob isn't just blindly following Reigen around anymore. With all his experiences as a ridiculously strong psychic, Mob's supernatural adventures now have more weight to them. Things take on a serious and darker tone as the dangers Mob and Reigen face are much more tangible and unsettling than ever before.  [Written by MAL Rewrite]";Super Power;
51;Noragami Aragoto;https://myanimelist.net/anime/30503/Noragami_Aragoto;;ノラガミ ARAGOTO;TV;13;Finished Airing;Oct 3, 2015 to Dec 26, 2015;Fall 2015;Saturdays at 01:05 (JST);['Dentsu', 'Shochiku', 'Kodansha', 'Ai Addiction', 'Avex Pictures', 'A-Sketch'];Funimation;Bones;Manga;['Action', 'Fantasy'];;Shounen;24 min. per ep.;PG-13 - Teens 13 or older;8.16;#391;#77;1,377,382;11,370;['Crunchyroll'];Yato and Yukine have finally mended their relationship as god and Regalia. As a minor and unknown deity, Yato continues to take odd jobs for five yen apiece in hopes of one day having millions of worshippers and his own grand shrine. He has yet to fix Hiyori Iki's loose soul, but she cheerily prepares for high school nonetheless.  While things are seemingly back to normal, the complicated history between Yato and Bishamon—goddess of war and warriors—resurfaces. Bishamon holds a mysterious old grudge against Yato, which results in violent clashes between them. To further complicate matters, Bishamon's most trusted Regalia, Kazuma, is indebted to Yato. When lives are on the line, unraveling these secrets is possibly the only way to correct mistakes of the past.  [Written by MAL Rewrite];Mythology;
52;Durarara!!;https://myanimelist.net/anime/6746/Durarara;Dhurarara!!, Dyurarara!!, Dulalala!!, Dullalala!!, DRRR!!;デュラララ!!;TV;24;Finished Airing;Jan 8, 2010 to Jun 25, 2010;Winter 2010;Fridays at 01:25 (JST);['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Movic', 'ASCII Media Works', 'Sakura Create'];Aniplex of America;Brain's Base;Light novel;['Action', 'Mystery', 'Supernatural'];;;24 min. per ep.;R - 17+ (violence & profanity);8.11;#444;#81;1,342,295;29,606;['Funimation', 'Netflix'];"In Tokyo's downtown district of Ikebukuro, amidst many strange rumors and warnings of anonymous gangs and dangerous occupants, one urban legend stands out above the rest—the existence of a headless ""Black Rider"" who is said to be seen driving a jet-black motorcycle through the city streets.  Mikado Ryuugamine has always longed for the excitement of the city life, and an invitation from a childhood friend convinces him to move to Tokyo. Witnessing the Black Rider on his first day in the city, his wishes already seem to have been granted. But as supernatural events begin to occur, ordinary citizens like himself, along with Ikebukuro's most colorful inhabitants, are mixed up in the commotion breaking out in their city.  [Written by MAL Rewrite]";;
53;Ansatsu Kyoushitsu 2nd Season;https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season;Ansatsu Kyoushitsu Season 2, Ansatsu Kyoushitsu Final Season;暗殺教室　第２期;TV;25;Finished Airing;Jan 8, 2016 to Jul 1, 2016;Winter 2016;Fridays at 01:25 (JST);['Dentsu', 'Studio Hibari', 'Fuji TV', 'DAX Production', 'Avex Pictures', 'Shueisha', 'Kansai Telecasting'];Funimation;Lerche;Manga;['Action', 'Comedy'];;Shounen;23 min. per ep.;PG-13 - Teens 13 or older;8.50;#124;#85;1,327,104;17,130;['Crunchyroll', 'Netflix'];Returning from their summer vacation, the students of Class 3-E at the prestigious Kunugigaoka Middle School find themselves up against unbeatable odds. Faced with the possibility of world annihilation, the students must come up with increasingly elaborate and creative ways to kill their teacher, the cunning yet optimistic and helpful Koro-sensei.  However, eliminating Koro-sensei is not the only objective the students need to worry about. Gakuhou Asano, the academy's merciless and cruel principal, seeks to prevent Class 3-E's success by brainwashing his other hard-working pupils into ruthlessly competitive studying machines. Hostility begins to linger in the air as traitors and killers alike attempt to claim the bounty on Koro-sensei's head for themselves.  Nagisa Shiota, one of Class 3-E's most skilled assassins, finds himself in the middle of the conflict. While he works to maintain his academic standing and prevent the end of the world, domestic affairs jeopardize his place in Class 3-E. Together with his dedicated classmates, he must now face the threats head-on.  [Written by MAL Rewrite];School;
54;Kimetsu no Yaiba Movie: Mugen Ressha-hen;https://myanimelist.net/anime/40456/Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen;Gekijouban Kimetsu no Yaiba: Mugen Ressha-hen, Kimetsu no Yaiba: Infinity Train, Demon Slayer Movie: Infinity Train;劇場版 鬼滅の刃 無限列車編;Movie;1;Finished Airing;Oct 16, 2020;;;['Aniplex', 'Shueisha'];Aniplex of America;ufotable;Manga;['Action', 'Fantasy'];;Shounen;1 hr. 56 min.;R - 17+ (violence & profanity);8.63;#72;#86;1,324,715;12,412;['Crunchyroll', 'Netflix'];After a string of mysterious disappearances begin to plague a train, the Demon Slayer Corps' multiple attempts to remedy the problem prove fruitless. To prevent further casualties, the Flame Pillar, Kyoujurou Rengoku, takes it upon himself to eliminate the threat. Accompanying him are some of the Corps' most promising new blood: Tanjirou Kamado, Zenitsu Agatsuma, and Inosuke Hashibira, who all hope to witness the fiery feats of this model demon slayer firsthand.  Unbeknownst to them, the demonic forces responsible for the disappearances have already put their sinister plan in motion. Under this demonic presence, the group must muster every ounce of their willpower and draw their swords to save all two hundred passengers onboard. Kimetsu no Yaiba Movie: Mugen Ressha-hen delves into the deepest corners of Tanjirou's mind, putting his resolve and commitment to duty to the test.  [Written by MAL Rewrite];Historical;
55;Tensei shitara Slime Datta Ken;https://myanimelist.net/anime/37430/Tensei_shitara_Slime_Datta_Ken;TenSura;転生したらスライムだった件;TV;24;Finished Airing;Oct 2, 2018 to Mar 19, 2019;Fall 2018;Tuesdays at 00:00 (JST);['Lantis', 'Kodansha', 'BS11', 'Bandai Namco Arts', 'Micro Magazine Publishing'];Funimation;8bit;Manga;['Action', 'Adventure', 'Comedy', 'Fantasy'];['Isekai', 'Mythology', 'Reincarnation'];;23 min. per ep.;PG-13 - Teens 13 or older;8.14;#412;#87;1,292,159;26,697;['Crunchyroll', 'Funimation', ''];"Thirty-seven-year-old Satoru Mikami is a typical corporate worker, who is perfectly content with his monotonous lifestyle in Tokyo, other than failing to nail down a girlfriend even once throughout his life. In the midst of a casual encounter with his colleague, he falls victim to a random assailant on the streets and is stabbed. However, while succumbing to his injuries, a peculiar voice echoes in his mind, and recites a bunch of commands which the dying man cannot make sense of.  When Satoru regains consciousness, he discovers that he has reincarnated as a goop of slime in an unfamiliar realm. In doing so, he acquires newfound skills—notably, the power to devour anything and mimic its appearance and abilities. He then stumbles upon the sealed Catastrophe-level monster ""Storm Dragon"" Veldora who had been sealed away for the past 300 years for devastating a town to ashes. Sympathetic to his predicament, Satoru befriends him, promising to assist in destroying the seal. In return, Veldora bestows upon him the name Rimuru Tempest to grant him divine protection.  Now, liberated from the mundanities of his past life, Rimuru embarks on a fresh journey with a distinct goal in mind. As he grows accustomed to his new physique, his gooey antics ripple throughout the world, gradually altering his fate.  [Written by MAL Rewrite]";;
56;Vinland Saga;https://myanimelist.net/anime/37521/Vinland_Saga;;ヴィンランド・サガ;TV;24;Finished Airing;Jul 8, 2019 to Dec 30, 2019;Summer 2019;Mondays at 00:10 (JST);['Production I.G', 'Dentsu', 'Kodansha', 'Twin Engine'];Sentai Filmworks;Wit Studio;Manga;['Action', 'Adventure', 'Drama'];['Gore', 'Historical'];Seinen;24 min. per ep.;R - 17+ (violence & profanity);8.73;#45;#90;1,278,664;39,258;['Crunchyroll'];"Young Thorfinn grew up listening to the stories of old sailors that had traveled the ocean and reached the place of legend, Vinland. It's said to be warm and fertile, a place where there would be no need for fighting—not at all like the frozen village in Iceland where he was born, and certainly not like his current life as a mercenary. War is his home now. Though his father once told him, ""You have no enemies, nobody does. There is nobody who it's okay to hurt,"" as he grew, Thorfinn knew that nothing was further from the truth.  The war between England and the Danes grows worse with each passing year. Death has become commonplace, and the viking mercenaries are loving every moment of it. Allying with either side will cause a massive swing in the balance of power, and the vikings are happy to make names for themselves and take any spoils they earn along the way. Among the chaos, Thorfinn must take his revenge and kill Askeladd, the man who murdered his father. The only paradise for the vikings, it seems, is the era of war and death that rages on.  [Written by MAL Rewrite]";;
57;Bungou Stray Dogs;https://myanimelist.net/anime/31478/Bungou_Stray_Dogs;bsd;文豪ストレイドッグス;TV;12;Finished Airing;Apr 7, 2016 to Jun 23, 2016;Spring 2016;Thursdays at 01:05 (JST);['Lantis', 'Movic', 'KlockWorx', 'Bandai Namco Live Creative', 'Glovision', 'Lawson HMV Entertainment', 'Sony PCL'];Funimation, Crunchyroll;Bones;Manga;['Action', 'Mystery', 'Supernatural'];['Adult Cast', 'Organized Crime', 'Super Power'];Seinen;23 min. per ep.;R - 17+ (violence & profanity);7.82;#879;#91;1,256,470;24,201;['Crunchyroll', 'Funimation'];For weeks, Atsushi Nakajima's orphanage has been plagued by a mystical tiger that only he seems to be unaware of. Suspected to be behind the strange incidents, the 18-year-old is abruptly kicked out of the orphanage and left hungry, homeless, and wandering through the city.  While starving on a riverbank, Atsushi saves a rather eccentric man named Osamu Dazai from drowning. Whimsical suicide enthusiast and supernatural detective, Dazai has been investigating the same tiger that has been terrorizing the boy. Together with Dazai's partner Doppo Kunikida, they solve the mystery, but its resolution leaves Atsushi in a tight spot. As various odd events take place, Atsushi is coerced into joining their firm of supernatural investigators, taking on unusual cases the police cannot handle, alongside his numerous enigmatic co-workers.  [Written by MAL Rewrite];;
58;Owari no Seraph;https://myanimelist.net/anime/26243/Owari_no_Seraph;Seraph of the End;終わりのセラフ;TV;12;Finished Airing;Apr 4, 2015 to Jun 20, 2015;Spring 2015;Saturdays at 22:00 (JST);['Rakuonsha', 'NBCUniversal Entertainment Japan', 'Shueisha'];Funimation;Wit Studio;Manga;['Action', 'Drama', 'Supernatural'];['Military', 'Vampire'];Shounen;23 min. per ep.;R - 17+ (violence & profanity);7.49;#1767;#93;1,248,097;13,104;['Funimation', 'Netflix'];With the appearance of a mysterious virus that kills everyone above the age of 13, mankind becomes enslaved by previously hidden, power-hungry vampires who emerge in order to subjugate society with the promise of protecting the survivors, in exchange for donations of their blood.  Among these survivors are Yuuichirou and Mikaela Hyakuya, two young boys who are taken captive from an orphanage, along with other children whom they consider family. Discontent with being treated like livestock under the vampires' cruel reign, Mikaela hatches a rebellious escape plan that is ultimately doomed to fail. The only survivor to come out on the other side is Yuuichirou, who is found by the Moon Demon Company, a military unit dedicated to exterminating the vampires in Japan.  Many years later, now a member of the Japanese Imperial Demon Army, Yuuichirou is determined to take revenge on the creatures that slaughtered his family, but at what cost?  Owari no Seraph is a post-apocalyptic supernatural shounen anime that follows a young man's search for retribution, all the while battling for friendship and loyalty against seemingly impossible odds.  [Written by MAL Rewrite];;
59;Spy x Family;https://myanimelist.net/anime/50265/Spy_x_Family;;SPY×FAMILY;TV;12;Finished Airing;Apr 9, 2022 to Jun 25, 2022;Spring 2022;Saturdays at 23:00 (JST);['TV Tokyo', 'Shogakukan-Shueisha Productions', 'TOHO animation', 'Shueisha'];None found, add some;Wit Studio, CloverWorks;Manga;['Action', 'Award Winning', 'Comedy'];;Shounen;24 min. per ep.;PG-13 - Teens 13 or older;8.67;#59;#94;1,247,915;36,865;['Crunchyroll', 'Netflix', '', '', '', '', '', '', '', '', '', '', '', '', ''];"Corrupt politicians, frenzied nationalists, and other warmongering forces constantly jeopardize the thin veneer of peace between neighboring countries Ostania and Westalis. In spite of their plots, renowned spy and master of disguise ""Twilight"" fulfills dangerous missions one after another in the hope that no child will have to experience the horrors of war.  In the bustling Ostanian city of Berlint, Twilight dons the alias of ""Loid Forger,"" an esteemed psychiatrist. However, his true intention is to gather intelligence on prominent politician Donovan Desmond, who only appears rarely in public at his sons' school: the prestigious Eden Academy. Enlisting the help of unmarried city hall clerk Yor Briar to act as his wife and adopting the curious six-year-old orphan Anya as his daughter, Loid enacts his master plan. He will enroll Anya in Eden Academy, where Loid hopes she will excel and give him the opportunity to meet Donovan without arousing suspicion.  Unfortunately for Loid, even a man of his talents has trouble playing the figure of a loving father and husband. And just like Loid is hiding his true identity, Yor—who is an underground assassin known as ""Thorn Princess""—and Anya—an esper who can read people's minds—have no plans to disclose their own secrets either. Although this picture-perfect family is founded on deception, the Forgers gradually come to understand that the love they share for one another trumps all else.  [Written by MAL Rewrite]";Childcare;
60;Enen no Shouboutai;https://myanimelist.net/anime/38671/Enen_no_Shouboutai;Fire Brigade of Flames;炎炎ノ消防隊;TV;24;Finished Airing;Jul 6, 2019 to Dec 28, 2019;Summer 2019;Saturdays at 01:25 (JST);['Mainichi Broadcasting System', 'Kodansha', 'bilibili', 'DMM pictures', 'DMM Music'];Funimation;David Production;Manga;['Action', 'Supernatural'];;Shounen;23 min. per ep.;PG-13 - Teens 13 or older;7.71;#1129;#98;1,210,252;8,619;['Crunchyroll', 'Funimation', ''];Spontaneous Human Combustion: a chaotic phenomenon that has plagued humanity for years, randomly transforming ordinary people into flaming, violent creatures known as Infernals. While Infernals make up the first-generation accounts of Human Combustion, the second and third generations became known as pyrokinetics—people gifted with the ability to manipulate and control their flames while remaining human. To combat the Infernal threat and discover the cause, the Tokyo Armed Forces, Fire Defense Agency, and Holy Church of Sol produced their answer: the Special Fire Force.  Young and eager third-generation pyrokinetic Shinra Kusakabe, nicknamed Devil's Footprints for his explosive ability to ignite his feet at will, becomes a member of the lively Special Fire Force Company 8. Upholding the brigade's duty to extinguish the blazing Infernals and lay their souls to rest, Shinra is determined to become a hero who will save the lives of those threatened by the flame terror.  However, this is not the hero's game Shinra imagined. The Fire Force is a fractured mess of feuding brigades, abnormal Infernal sightings are increasing all over Tokyo, and a shadowy group is claiming to have answers to the strange fire that caused the death of Shinra's family 12 years ago. Faced with many obstacles within and outside the Fire Force, Shinra fights to uncover the truth behind the burning mysteries that have kept him in the dark.  [Written by MAL Rewrite];;
