;title;link;image_link;synonyms;japanese;type;episodes;status;aired;premiered;broadcast;producers;licensors;studios;source;genres;themes;demographic;duration;rating;score;ranked;popularity;members;favorites;platforms;synopsis;theme;genre
6;Mamono Hunter Youko;https://myanimelist.net/anime/1280/Mamono_Hunter_Youko;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Demon Hunter Youko, Mamono Hunter Yohko;魔物ハンター妖子;OVA;5;Finished Airing;Dec 1, 1990 to Jul 1, 1995;;;['Toho'];ADV Films;Madhouse;Original;['Comedy', 'Fantasy', 'Horror', 'Supernatural'];;36 min. per ep.;R+ - Mild Nudity;6.23;#8200;#5547;11,642;26;;[];Yohko Mono is a regular girl making her way through high school--until she learns that she is the 108th successor to a line of warriors charged with defending the earth against demons. Eventually she must fight her ultimate battle against the demon who started it all.  (Source: ANN);;
7;Himekishi Lilia;https://myanimelist.net/anime/3992/Himekishi_Lilia;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Princess Knight Lilia;姫騎士リリア;OVA;6;Finished Airing;Jun 2, 2006 to Jul 30, 2010;;;['Pixy'];None found, add some;Anime Antenna Iinkai;Visual novel;['Fantasy', 'Horror', 'Supernatural', 'Hentai'];;27 min. per ep.;Rx - Hentai;6.74;N/A;#5576;11,517;106;;[];The princess knight Lilia Evelvine is set to succeed her father as the ruler of the Leuven kingdom, but her jealous brother, Dirk, will do anything to halt her ascension to the throne. With the aid of Kiriko, his court enchantress, and Sand, the servant of the King of Demons, the dastardly prince enacts a coup to gain control of the castle and become the next king. He succeeds, but not before being reminded of his agreement with Sand: to extract the holy energy within Lilia as a tribute to the King of Demons. Dirk then proceeds to corrupt his mother and Lilia with all sorts of perversions, hoping to fulfill his task on time while turning the two into his loyal slaves.  [Written by MAL Rewrite];Mythology;
8;Hakaba Kitarou;https://myanimelist.net/anime/3710/Hakaba_Kitarou;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;墓場鬼太郎;TV;11;Finished Airing;Jan 11, 2008 to Mar 21, 2008;Winter 2008;Fridays at 00:45 (JST);['Dentsu', 'Yomiko Advertising', 'SKY Perfect Well Think', 'Fuji TV', 'Asmik Ace', 'Sony Music Entertainment', 'Fujipacific Music'];None found, add some;Toei Animation;Manga;['Horror', 'Supernatural'];;25 min. per ep.;PG-13 - Teens 13 or older;6.87;#4644;#5602;11,406;43;;[];Kitarou is a youkai boy born in a cemetery, and aside from his mostly-decayed father, the last living member of the Ghost tribe. He is missing his left eye, but his hair usually covers the empty socket. He fights for peace between humans and youkai, which generally involves protecting the former from the wiles of the latter.  This version of the Kitarou story is based on the original Hakaba Kitarou manga, the manga which inspired the popular Gegege no Kitarou series in the late 60's.  (Source: Wikipedia);;
9;Karakuri Zoushi Ayatsuri Sakon;https://myanimelist.net/anime/2204/Karakuri_Zoushi_Ayatsuri_Sakon;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Ningyou Zoushi Ayatsuri Sakon, Puppet Master Sakon, Tales of Puppetmaster Sakon;人形草紙あやつり左近;TV;26;Finished Airing;Oct 8, 1999 to Mar 31, 2000;Fall 1999;Tuesdays at 18:30 (JST);['WOWOW'];None found, add some;TMS Entertainment;Manga;['Horror', 'Mystery', 'Suspense'];Shounen;25 min. per ep.;R - 17+ (violence & profanity);7.36;#2292;#5608;11,381;55;;[];The dark-haired bishounen is Sakon Tachibana, a puppeteer, and the other is Ukon, his favorite puppet, and best friend. Sakon is the (only) grandson of Saemon Tachibana, a national treasure of Japan famous for his manipulation of Bunraku puppets. Ukon is a child doll puppet made in the early Meiji era by the famous female dollmaker Unosuke. Together they run into murders and solve them.  (Source: AnimeNfo);;
10;Kaibutsu Oujo: Konsui Oujo;https://myanimelist.net/anime/4082/Kaibutsu_Oujo__Konsui_Oujo;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Kaibutsu Oujo Special, Kaibutsu Oujo: Sleeping Princess, Princess Resurrection Special;怪物王女　第26話「昏睡王女」;Special;1;Finished Airing;Feb 14, 2008;;;['Lantis'];Sentai Filmworks;Madhouse;Manga;['Action', 'Comedy', 'Horror', 'Supernatural'];Shounen;23 min.;PG-13 - Teens 13 or older;6.96;#4230;#5622;11,298;14;;[];Episode 26 included in the ninth DVD volume of Kaibutsu Oujo.;Vampire;
11;Blue Gender: The Warrior;https://myanimelist.net/anime/1380/Blue_Gender__The_Warrior;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;BLUE GENDER THE WARRIOR;Movie;1;Finished Airing;Nov 20, 2002;;;['None found', 'add some'];Funimation;AIC;Original;['Adventure', 'Drama', 'Horror', 'Romance', 'Sci-Fi'];;1 hr. 39 min.;R - 17+ (violence & profanity);6.21;#8304;#5677;11,016;7;['Mecha', 'Military', 'Space'];[];It is a time of chaos. Earth is no longer what it used to be. It has been infested with a bug like species called the Blue. 20 years ago Yuji Kaido, who has a mysterious disease, is put into suspended animation until a cure is found. When he wakes up Yuji learns that it’s been more than 20 years since he was put into suspended animation, and the world is now controlled by these creatures. He then decides to join a group of soldiers fighting against the Blue for hope of a better future.  (Source: ANN);;
12;Kakugo no Susume;https://myanimelist.net/anime/1647/Kakugo_no_Susume;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;覚悟のススメ;OVA;2;Finished Airing;Oct 23, 1996 to Dec 18, 1996;;;['Victor Entertainment', 'Big West'];Media Blasters;Ashi Productions;Manga;['Action', 'Horror', 'Sci-Fi', 'Ecchi'];;37 min. per ep.;R+ - Mild Nudity;4.77;#13322;#5702;10,884;38;['Mecha', 'Mythology', 'Super Power'];[];A series of natural disasters has reduced the world to rubble, with the survivors doing whatever they must to survive in a world gone mad. But one young boy, Kakugo, gifted with amazing martial arts and a superpowerful suit of armor by his late father, has been charged with making the world (or at least his school) a safer place. But his sister has a matching set of skills and equipment, and she`s on a mission to bring peace to the world... by wiping out humanity!  (Source: AnimeNfo);;
13;Yami Shibai 9;https://myanimelist.net/anime/49110/Yami_Shibai_9;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Yamishibai: Japanese Ghost Stories Ninth Season, Yamishibai: Japanese Ghost Stories 9;闇芝居 九期;TV;13;Finished Airing;Jul 12, 2021 to Sep 30, 2021;Summer 2021;Unknown;['None found', 'add some'];None found, add some;ILCA, DRAWIZ;Original;['Avant Garde', 'Horror', 'Supernatural'];;4 min. per ep.;PG-13 - Teens 13 or older;5.85;#10192;#5746;10,698;39;;['Crunchyroll', 'Bahamut Anime Crazy', '', ''];Ninth season of Yami Shibai.;;
14;Teizokurei Daydream;https://myanimelist.net/anime/1500/Teizokurei_Daydream;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Teizoku Rei Daydream, Vulgar Ghost Daydream;低俗霊DAYDREAM;OVA;4;Finished Airing;Jun 25, 2004 to Dec 23, 2004;;;['Bandai Visual', 'Imagine'];Geneon Entertainment USA;Hal Film Maker;Manga;['Comedy', 'Drama', 'Horror', 'Supernatural', 'Ecchi'];;24 min. per ep.;R+ - Mild Nudity;6.12;#8845;#5774;10,570;13;;[];Saiki Misaki has been able to see ghosts since she was a kid. Now, working at an S&M club, her spare time goes to sending the spirits off to the other world by having to make them realize they're dead and have to leave. This would supposedly be a little bit easier if you didnt have a background of hardship and loneliness... and a perverted employer.  (Source: ANN);;
15;Violence Jack: Jigoku Gai-hen;https://myanimelist.net/anime/1342/Violence_Jack__Jigoku_Gai-hen;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Violence Jack: Evil Town, Violence Jack Jigoku Gai, Violence Jack 2, Violence Jack: Jigoku Gai Hen, Violence Jack: Jigoku Gai Arc;バイオレンス ジャック 〜地獄街編〜;OVA;1;Finished Airing;Dec 6, 1988;;;['Dynamic Planning'];Discotek Media;Studio 88;Manga;['Action', 'Drama', 'Horror'];;58 min.;R+ - Mild Nudity;5.55;#11466;#5781;10,538;19;;[];The World as we know it has been torn apart shattered by a series of natural disasters that have turned civilization into a brutish nightmare of survival and has left whole cities buried beneath the Earth. It's now a lethal and chaotic place, a place where only the strongest and most savage remain alive. The strongest of them all is a giant warrior known as Violence Jack…  Violence Jack tries to avert a civil war brewing among the wretched inhabitants of a subterranean metropolis called Evil Town. Based on a character created by manga horror specialist, Go Nagai.  (Source: AniDB);Gore;
16;Call Me Tonight;https://myanimelist.net/anime/2147/Call_Me_Tonight;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Pink Noise;コール・ミー・トゥナイト;OVA;1;Finished Airing;Jul 28, 1986;;;['None found', 'add some'];None found, add some;AIC;Original;['Comedy', 'Horror', 'Romance', 'Sci-Fi'];;30 min.;R+ - Mild Nudity;5.26;#12435;#5810;10,432;15;;[];Rumi's met a lot of guys through her job, and it's probably fair to assume that most of them could be said to have some sort of problem, but a man who literally turns into a beast when he gets turned on may be outside of this perky call girl's field of expertise. Still, a little challenge every now and again stimulates the mind and makes life so much more interesting, so she's willing to give it a shot.  (Source: AniDB);Gore;
17;Terra Formars: Earth-hen;https://myanimelist.net/anime/34532/Terra_Formars__Earth-hen;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;テラフォーマーズ アース編;OVA;2;Finished Airing;Aug 17, 2018 to Nov 19, 2018;;;['Shueisha'];None found, add some;TYO Animations, LIDENFILMS;Manga;['Action', 'Horror', 'Sci-Fi'];Seinen;26 min. per ep.;R - 17+ (violence & profanity);6.11;#8872;#5821;10,396;7;['Gore', 'Space', 'Survival'];[];As the Mars expedition comes to an end, a small group of Terraformars manage to reach Earth and bring the fight there. Now the surviving members of the ANNEX-I along with new recruits, have to save Earth from the growing roach menace.  (Source: AniDB);;
18;Koroshiya 1 The Animation: Episode 0;https://myanimelist.net/anime/2346/Koroshiya_1_The_Animation__Episode_0;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Koroshiya Ichi The Animation: Episode 0;殺し屋１ THE ANIMATION EPISODE 0;OVA;1;Finished Airing;Sep 27, 2002;;;['Shogakukan-Shueisha Productions', 'Amuse'];Central Park Media;AIC;Manga;['Action', 'Avant Garde', 'Drama', 'Horror'];Seinen;45 min.;R+ - Mild Nudity;5.62;#11190;#5842;10,287;29;['Martial Arts', 'Psychological'];[];A masochistic mobster meets his match in the dark streets of Tokyo. His nemesis, Ichi, is a psychopathic killer with an unrelenting thirst for bloodshed. A horrifying secret burns in his mind, and his hands deal death without mercy. At last, the shrouds of mystery are parted to reveal the origin of the monster. The city will know its greatest fear at the unveiling of Ichi the Killer.  (Source: ANN);;
19;Bem Movie: Become Human;https://myanimelist.net/anime/42129/Bem_Movie__Become_Human;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;劇場版BEM 〜BECOME HUMAN〜;Movie;1;Finished Airing;Oct 2, 2020;;;['TV Tokyo', 'Pony Canyon', 'KlockWorx', 'flying DOG', 'Glovision', 'ADK'];None found, add some;Production I.G;Original;['Action', 'Horror', 'Supernatural'];;1 hr. 30 min.;None;6.79;#5035;#5863;10,171;13;;[];Take place 2 years after the last episode of the TV series.  Detective Sonia Summers are tracking Bem and the others. She reunited with Belo, who is fighting a dark organization alone. He brought her to Bem, but Bem doesn't remember anything and living in the city as an ordinary employee... or that is what he thought he was.;Mythology;
20;Maou Dante;https://myanimelist.net/anime/1628/Maou_Dante;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Dante the Satan;魔王ダンテ;TV;13;Finished Airing;Aug 31, 2002 to Nov 23, 2002;Summer 2002;Unknown;['AT-X', 'Dynamic Planning'];Discotek Media, Geneon Entertainment USA;Magic Bus;Manga;['Action', 'Horror', 'Supernatural'];Shounen;24 min. per ep.;R - 17+ (violence & profanity);5.99;#9516;#5903;10,028;10;;[];While sleeping one night, Ryo Utsugi had a nightmare of monsters attacking him. One day he learns a mysterious power to let him hear voices and have visions of girls getting killed, but one night he hears the same voice.  (Source: ANN);Mythology;
21;Shihaisha no Tasogare;https://myanimelist.net/anime/1245/Shihaisha_no_Tasogare;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;支配者の黄昏;OVA;1;Finished Airing;Jan 21, 1998;;;['Toei Video', 'Filmlink International'];Urban Vision;Madhouse;Manga;['Action', 'Drama', 'Horror', 'Sci-Fi', 'Supernatural'];Shoujo;45 min.;R+ - Mild Nudity;5.81;#10354;#5908;10,009;14;;[];"Since the beginning of time, monstrous Demons and noble Guardians have battled for Earth - the everlasting gift of the one great Mother, creator of all life. A deep hatred burns between Demon and Guardian; the Guardians prevented the Demons from destroying humanity and the world itself.  Eons later, Neo-Shinjuku City: few Demons or Guardians remain to continue their epic war. Humans rule the Earth, with no real memory of either Demons or Guardians. Yet deep within the dark underworld of the city, one supreme Demon is alive and plotting to subjugate mankind. Only one Guardian is left to do battle, and the fate of the human race is at stake.  Based on the Graphic Novel ""Twilight of the Dark Master (Shihaisha no Tasogare)"" (Shinshokan) by Saki Okuse  (Source: DVD Back Cover)";Mythology;
22;Darkside Blues;https://myanimelist.net/anime/1494/Darkside_Blues;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;ダークサイド・ブルース;Movie;1;Finished Airing;Oct 8, 1994;;;['Akita Shoten'];None found, add some;J.C.Staff;Manga;['Horror', 'Mystery', 'Sci-Fi'];;1 hr. 23 min.;R+ - Mild Nudity;6.04;#9282;#5932;9,949;26;;[];"The Persona Century Corporation has purchased nearly every parcel of land on earth. Dissension is not tolerated within the corporation's borders and those who oppose Persona are dealt with swiftly. Of those few places not yet under Persona's control is the free town of Kabuki-cho, also known as ""The Dark Side of Tokyo"". Within the town, under the leadership of a woman named Mai, is a small resistance group called Messiah. Into this world steps a man who takes the sobriquet of Kabuki-cho: Darkside. Sealed up in another dimension eighteen years ago by Persona Century, Darkside now returns to aid Messiah using his unique mystic power of renewal.  (Source: ANN)";Psychological;
23;Shin Getter Robo;https://myanimelist.net/anime/2978/Shin_Getter_Robo;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Shin Getter Robo (2004);新ゲッターロボ;OVA;13;Finished Airing;Apr 9, 2004 to Sep 10, 2004;;;['Bee Media', 'Dynamic Planning'];Discotek Media, Geneon Entertainment USA;Brain's Base;Original;['Action', 'Adventure', 'Horror', 'Sci-Fi'];Shounen;24 min. per ep.;R - 17+ (violence & profanity);7.36;#2271;#5935;9,938;94;['Mecha', 'Mythology'];[];Humanity is under attack by demonic creatures called Oni. Unable to fight back by any other means, the scientist Dr. Saotome creates a series of giant robots that harness the mysterious power of Getter Rays, giving them the strength necessary to fight the Oni. The strongest of these is Getter Robo, and Saotome must enlist three very different men to pilot it - martial artist Ryoma Nagare, criminal leader Hayato Jin, and monk Benkei Musashibou. Together, the Getter Team fights to end the Oni menace forever.  (Source: ANN);;
24;Teito Monogatari;https://myanimelist.net/anime/1148/Teito_Monogatari;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Capital Story;帝都物語;OVA;4;Finished Airing;Sep 27, 1991 to Sep 25, 1992;;;['Toei Video', 'Streamline Pictures'];ADV Films, Media Blasters;Madhouse;Novel;['Horror', 'Supernatural'];;47 min. per ep.;R+ - Mild Nudity;5.91;#9958;#5952;9,855;32;;[];"When an evil sorcerer bent on crushing the ""greatest city on earth"" uses dark powers to awaken the destructive spirit of Tokyo's historic ""guardian,"" Taira no Masakado, occultists, children, and scientists become embroiled in a ruinous struggle spanning two decades.  (Source: ANN)";Historical;
25;Devilman: Crybaby - Digest Eizou;https://myanimelist.net/anime/37590/Devilman__Crybaby_-_Digest_Eizou;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Devilman: Crybaby Recap;「DEVILMAN crybaby」ダイジェスト映像;ONA;1;Finished Airing;Mar 24, 2018;;;['None found', 'add some'];None found, add some;Science SARU;Manga;['Action', 'Horror', 'Supernatural'];;3 min.;PG-13 - Teens 13 or older;6.08;#9048;#6090;9,331;18;;[];A short web recap of the Devilman: Crybaby series, posted on Aniplex's official YouTube channel.;Mythology;
26;Youma;https://myanimelist.net/anime/1484/Youma;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Curse of the Undead Yoma;妖魔;OVA;2;Finished Airing;May 1, 1989 to Jun 1, 1989;;;['animate Film'];ADV Films;J.C.Staff;Manga;['Action', 'Fantasy', 'Horror', 'Supernatural'];;38 min. per ep.;R - 17+ (violence & profanity);6.05;#9235;#6254;8,751;24;;[];A terrible war has ravaged the land, and now, fueled by the blood of numerous fallen warriors the Yoma, demons from hell, emerge once more. A skilled ninja seeks to end the bloodshed these demons inflict upon humanity, but to do this he must fight against his undead former best friend and fellow ninja who was killed in battle and has been resurrected to serve the Yoma.  (Source: ANN);Mythology;
27;Sci-fi Harry;https://myanimelist.net/anime/1508/Sci-fi_Harry;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;サイファイハリー;TV;20;Finished Airing;Oct 6, 2000 to Mar 23, 2001;Fall 2000;Saturdays at 02:09 (JST);['TV Asahi', 'Nagoya Broadcasting Network'];Super Techno Arts;APPP;Manga;['Drama', 'Horror', 'Sci-Fi'];;25 min. per ep.;R - 17+ (violence & profanity);6.17;#8531;#6282;8,599;15;;[];"Harry is definitely not your average American teenager. Instead, he is the epitome of an ""alienated youth""—friendless at school, extremely weird, and nervous to the point of paranoia. But a chance occurrence causes Harry to start to demonstrate what appear to be psychic powers—yet he neither believes in them nor consciously controls them.  However, there are other ominous forces at work who do believe in Harry and attempt to make use of him in ways that are threatening and frightful.  (Source: AniDB, edited)";;
28;Lily C.A.T.;https://myanimelist.net/anime/3258/Lily_CAT;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Lily Cat;LILY-C.A.T.;OVA;1;Finished Airing;Sep 1, 1987;;;['Victor Entertainment', 'Streamline Pictures'];Discotek Media;Pierrot;Original;['Horror', 'Sci-Fi'];;1 hr. 7 min.;PG-13 - Teens 13 or older;5.92;#9868;#6283;8,598;11;;['Crunchyroll'];The Deep Sleep Capsules, technology that has allowed man to reach out to the stars. These chambers slow the aging process by 95%. A 20-year trip passes, and the traveler has only aged 1 year. It definitely has its advantages, but after you've been on a few trips, it sure gets very lonely.  Right now, however, that's not the big issue. The year is 2264. The Syncam Corporation has sent the Saldes and its crew of 13 (and 1 cat) out into deep space to explore the potential of a newfound planet 20 years away. Soon after they awaken from their stasis, however, things are happening one after another. First, the crew learns that two of the crew are not who they claim to be. Then, one by one, crewmembers die suddenly. Then, the ship begins to turn against them. And as if it couldn't get any worse, they find another mess on their hands and it is ugly.  What was supposed to be a simple exploratory mission has become a struggle for survival in the depths of space. 20 years from home, they're all alone and no one can hear them scream.  (Source: AnimeNfo);Space;
29;Mahou Shoujo Ai;https://myanimelist.net/anime/2988/Mahou_Shoujo_Ai;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Sexy Magical Girl Ai, Maho Shojo Ai;魔法少女アイ;OVA;5;Finished Airing;Aug 25, 2003 to Feb 25, 2005;;;['Milky Animation Label', 'MS Pictures'];JapanAnime;Shinkuukan;Visual novel;['Action', 'Horror', 'Supernatural', 'Hentai'];;27 min. per ep.;Rx - Hentai;6.52;N/A;#6322;8,454;36;;[];"In a certain town, there were consecutive phantom assaults. Because the incidents were extraordinarily, there was a rumor that a ghost or supernatural creature caused them. The students in the school which Akitoshi went to were frightened. One day, an unknown girl appeared in the school. However, all the students except Akitoshi thought they had known her. Feeling strange, he shadowed her in order to investigate her but he lost sight of her. At that moment, he heard the scream of a woman from the nearby material yard and went to the place where the scream came from. There he found the beautiful girl of the school, Mikage. Mikage was surrounded by monsters ""Yuragi"" (fluctuation), and she was hanged naked. Yuragi noticed Akitoshi and began to attack him. Then, the fighter, Ai, appeared and cut them down. Akitoshi stared at Ai. What was her true character, an enemy or an ally?  (Source: AnimeNfo)";;
30;Violence Jack: Hell's Wind-hen;https://myanimelist.net/anime/1343/Violence_Jack__Hells_Wind-hen;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Violence Jack 3, Violence Jack: Hell's Wind, Violence Jack: Hell's Wind Hen, Violence Jack: Hell's Wind Arc;バイオレンス ジャック 〜ヘルスウインド編〜;OVA;1;Finished Airing;Nov 9, 1990;;;['Dynamic Planning'];Discotek Media;Studio 88;Manga;['Action', 'Drama', 'Horror'];;54 min.;R+ - Mild Nudity;5.47;#11753;#6327;8,443;5;;[];"The survivors of Kanto's Hell Earthquake built a new city and christened it ""Hope Town"". However, this peaceful town becomes a nightmare when it's raided by the motorcycle gang, ""Hell's Wind"". They abduct the women while the remaining townsfolk are left helpless against them.  Meanwhile, a boy, Subaro, meets Jun. Jun's lover was previously murdered, and the duo help one another to fight against Hell's Wind. The battles are getting more and more difficult, but with the appearance of Violence Jack, the citizens seem to gain the upper hand against Hell's Wind.  (Source: AniDB)";Gore;
31;Kyoushoku Soukou Guyver II;https://myanimelist.net/anime/1336/Kyoushoku_Soukou_Guyver_II;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Bio-Booster Armor Guyver, The Guyver, Kyoushoku Soukou Guyver, The Guyver Act II, Guyver: The Bio-boosted Armor II;強殖装甲ガイバー II;OVA;6;Finished Airing;Oct 24, 1991 to Aug 21, 1992;;;['animate Film'];Manga Entertainment;Visual 80;Manga;['Action', 'Adventure', 'Drama', 'Horror', 'Sci-Fi'];;25 min. per ep.;R+ - Mild Nudity;6.98;#4146;#6415;8,152;35;;[];Sho and his friend Tetsurou stumble upon an odd alien artifact while walking through the woods. Then, the alien artifact breaks free of its metallic bonds and enters Sho's body, turning him into the Guyver. With this new power, Sho must do battle with the evil Chronos corporation and their genetically enhanced Zoanoids, who seek to get the Guyver back into their labs. No one close to Sho is safe from Chronos. He must fight.  (Source: ANN);;
32;Yami Shibai 10;https://myanimelist.net/anime/50599/Yami_Shibai_10;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Yamishibai: Japanese Ghost Stories Tenth Season, Yamishibai: Japanese Ghost Stories 10;闇芝居 十期;TV;13;Finished Airing;Jan 10, 2022 to Apr 4, 2022;Winter 2022;Mondays at 02:35 (JST);['None found', 'add some'];None found, add some;ILCA;Original;['Avant Garde', 'Horror', 'Supernatural'];;4 min. per ep.;PG-13 - Teens 13 or older;6.14;#8743;#6429;8,114;37;;['Crunchyroll', 'Bahamut Anime Crazy', '', '', '', ''];Tenth season of Yami Shibai;;
33;Digital Devil Story: Megami Tensei;https://myanimelist.net/anime/2983/Digital_Devil_Story__Megami_Tensei;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Digital Devil Monogatari Megami Tensei;デジタル・デビル物語〈ストーリ〉 女神転生;OVA;1;Finished Airing;Mar 25, 1987;;;['Movic', 'Tokuma Shoten', 'Tokuma Japan'];None found, add some;animate Film;Light novel;['Adventure', 'Drama', 'Fantasy', 'Horror', 'Mystery', 'Supernatural'];;45 min.;R - 17+ (violence & profanity);5.14;#12738;#6463;8,013;12;['Mythology', 'Psychological', 'School'];[];Akemi Nakajima, is a high school student with a genius talent for computer programming. One day, Yumiko Shirasagi is transferred to the same class as him. She feels she knows Nakajima from somewhere, but doesn't try to deal with it. After school, Nakajima and a couple of classmates held a ceremony to summon the devil. Nakajima summons the devil Loki on the computer display while presenting a female offering. What will happen to Yumiko, who witnessed the scene?  (Source: Official site, edited);;
34;Biohazard 4: Incubate;https://myanimelist.net/anime/8278/Biohazard_4__Incubate;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Resident Evil 4: Incubate;バイオハザード4 Incubate;OVA;1;Finished Airing;Sep 28, 2006;;;['Capcom'];None found, add some;None found, add some;Game;['Action', 'Horror', 'Mystery', 'Supernatural', 'Suspense'];;1 hr. 22 min.;R - 17+ (violence & profanity);6.11;#8880;#6538;7,850;6;['Detective', 'Military', 'Mythology'];[];After the Playstation port of Resident Evil 4 hit the stores Capcom released a new 97 minute DVD some time later which intended to summarize the whole story of Resident Evil 4. It's played on English audio with Japanese subtitles. It also included a little book which explains the life on El Pueblo before and the arrival of Osmund Saddler. It also solved some plot holes like the whereabouts of the children. It contains many of the scenes original to Resident Evil 4.  (Source: Resident Evil Wiki);;
35;Ningyo no Kizu;https://myanimelist.net/anime/2017/Ningyo_no_Kizu;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Rumic World 5;人魚の傷;OVA;1;Finished Airing;Sep 24, 1993;;;['None found', 'add some'];VIZ Media;Madhouse;Manga;['Drama', 'Fantasy', 'Horror', 'Mystery'];;45 min.;R - 17+ (violence & profanity);6.76;#5183;#6559;7,756;7;;[];"Legend has it that when you eat the flesh of a mermaid, you would live forever. Yuta and Mana are living proof of this... Together, they journey to various places trying to find meaning for their existence, or perhaps even a ""cure"" for their situation. One day, Yuta and Mana meet Masato, a little boy who seems terrified of his mother Misa. It seems to Yuta and Mana that mother and son have a very unusual relationship. What happens when Yuta and Mana decide to discover the dark secret Masato and Misa are hiding? And what about those monster-like creatures that have been appearing?  (Source: AniDB)";;
36;Battle Royal High School;https://myanimelist.net/anime/3625/Battle_Royal_High_School;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Shin Majinden;真魔神伝　バトルロイヤルハイスクール;OVA;1;Finished Airing;Dec 10, 1987;;;['Tokuma Shoten'];AnimEigo;D.A.S.T.;Manga;['Action', 'Horror', 'Supernatural'];;59 min.;R+ - Mild Nudity;5.56;#11436;#6579;7,701;13;['Martial Arts', 'Mythology', 'Super Power'];[];"Hyoudo Riki is just an ordinary guy who likes to wear a tiger mask while Kung-Fu fighting, which means he fits in real well at BATTLE ROYAL HIGH SCHOOL!  Unfortunately for Riki, he's the doppleganger in our world of Byoudo, Master of the Dark Realm, and when a dimensional gate opens between the two worlds, the evil Fairy Master tricks Byoudo into making an attempt to conquer our beautiful, and better lit, world.  Now poor Riki is semi-possessed by his opposite number, and the minions of the Fairy Master are mutating his classmates into hideous lustful monsters. To make matters worse, all the inter-dimensional commotion has attracted the attention of a sword-happy exorcist and the heroic Zankan of the Space-Time Police!  Which all means that Riki is about to take one bitch of a mid-term. The course is survival, and forget ""Pass/Fail"". The test is graded ""Live/Die"".";;
37;Seoul-yeok;https://myanimelist.net/anime/34048/Seoul-yeok;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Seoulyeok;서울역;Movie;1;Finished Airing;Aug 18, 2016;;;['None found', 'add some'];None found, add some;Studio Dadashow;Unknown;['Horror', 'Suspense'];;1 hr. 32 min.;R - 17+ (violence & profanity);5.70;#10875;#6590;7,662;10;;[];Several groups of people try to survive a zombie pandemic that unleashes itself in downtown Seoul.;;
