;title;link;image_link;synonyms;japanese;type;episodes;status;aired;premiered;broadcast;producers;licensors;studios;source;genres;themes;duration;rating;score;ranked;popularity;members;favorites;demographic;platforms;synopsis;theme;genre
60;Atomic World;https://myanimelist.net/anime/40476/Atomic_World;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ATOMIC WORLD;Movie;1;Finished Airing;2009;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;2 min.;PG - Children;5.80;#10407;#14603;493;0;;;;[];Yoshiki Imazu's graduation work at Musashino Art University.;;Music
61;Fukarai-chou, Tunnel Roji no Otoko;https://myanimelist.net/anime/41725/Fukarai-chou_Tunnel_Roji_no_Otoko;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;福来町、トンネル路地の男;ONA;1;Finished Airing;2008;['None found', 'add some'];None found, add some;None found, add some;Original;;4 min.;PG-13 - Teens 13 or older;6.24;#8152;#14611;492;2;['Avant Garde', 'Sci-Fi'];;;[];A mysterious man, wearing a mask with eyes on it, is unable to go anywhere because he is plugged into an electrical outlet. He sits in an alleyway while various people visit him, curious about who he is and why he is there.  (Source: TMDB);;
62;Head Spoon;https://myanimelist.net/anime/30328/Head_Spoon;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ヘッド・スプーン;Movie;1;Finished Airing;1972;['Takun Manga Box'];None found, add some;None found, add some;Original;Avant Garde;5 min.;R+ - Mild Nudity;4.44;#13579;#14653;487;0;;;;[];Furukawa Taku film.;;
63;Kashikokimono;https://myanimelist.net/anime/31926/Kashikokimono;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;KASHIKOKIMONO (かしこきもの);Movie;1;Finished Airing;2004;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;9 min.;G - All Ages;5.53;#11580;#14674;485;0;;;;[];A combination of hand-drawn animation and computer-based generative animation exploring music and animation as a form of organic expression. Animated by Takahiro Hayakawa.;;Music
64;Zenchuu Maite;https://myanimelist.net/anime/30211/Zenchuu_Maite;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;蠕虫舞手;Movie;1;Finished Airing;2004;['None found', 'add some'];None found, add some;None found, add some;Other;Avant Garde;6 min.;G - All Ages;4.75;#13349;#14684;483;0;;;;[];Based on a poem by Kenji Miyazawa. A worm in this river looks shiny to me. 8 γ e 6 α  (Source: Official website);;
65;Aitata Bocchi;https://myanimelist.net/anime/34631/Aitata_Bocchi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;あいたたぼっち;Special;1;Finished Airing;Nov 2016;['None found', 'add some'];None found, add some;None found, add some;Original;;11 min.;PG-13 - Teens 13 or older;5.46;#11783;#14714;479;1;['Avant Garde', 'Drama'];;;[];Old friends Cabbage and Pea reunite under awkward circumstances.;;
66;Nice to See You;https://myanimelist.net/anime/30329/Nice_to_See_You;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ナイス･トゥー･シー･ユー;Movie;1;Finished Airing;1975;['Takun Manga Box'];None found, add some;None found, add some;Original;Avant Garde;3 min.;G - All Ages;4.46;#13563;#14739;475;0;;;;[];Furukawa Taku film.;;
67;Bara Bara Film;https://myanimelist.net/anime/30480/Bara_Bara_Film;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;バラバラフィルム;Movie;1;Finished Airing;2011;['Takun Manga Box'];None found, add some;None found, add some;Original;Avant Garde;4 min.;G - All Ages;4.32;#13612;#14746;474;0;;;;[];Furukawa Taku film.;Barabara Film;
68;Maku;https://myanimelist.net/anime/28989/Maku;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;幕;Movie;1;Finished Airing;Aug 25, 2014;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;5 min.;G - All Ages;5.32;#12266;#14754;473;0;;;;[];"""There are two people who face each other in each space. Each pair keeps a few distance between their partners and find some fearful, tender, and comfortable feelings that fascinate them. The feelings are put into practice immediately, and they start groping each feelings. Somehow, I try to blend and connect them. ""Feelings"" are sound bliss for all who have a body and sense. I busily pick my feelings on the track of my life and reconstruct by animation to appreciate them.""  (Source: Yoriko Mizushiri)";;Music
69;Kojin Toshi;https://myanimelist.net/anime/31587/Kojin_Toshi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;個人都市;Movie;1;Finished Airing;1990;['None found', 'add some'];None found, add some;None found, add some;Unknown;Avant Garde;23 min.;G - All Ages;5.03;#12948;#14785;470;1;;;;[];Short film by Kurosaka Keita.;;
70;Kaibutsu Gakushou;https://myanimelist.net/anime/34851/Kaibutsu_Gakushou;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;怪物学抄;Movie;1;Finished Airing;Nov 2016;['None found', 'add some'];None found, add some;Yamamura Animation, Inc.;Original;Avant Garde;6 min.;G - All Ages;5.62;#11232;#14817;466;0;;;;[];An animated archive of imaginary monsters written by a fictitious monsterologist in Medieval Europe. This work depicts the habits of monsters using movement inspired by short phrases such as “Taste of Tears”, “Tamed Wildness”, etc.  (Source: Yamamura Animation);;
71;Persona (Music);https://myanimelist.net/anime/54369/Persona_Music;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ペルソナ;Music;1;Finished Airing;Jan 30, 2023;['Hololive Production'];None found, add some;None found, add some;Mixed media;Avant Garde;5 min.;PG-13 - Teens 13 or older;6.42;#7132;#14832;465;1;;['Idols (Female)', ''];;[];No synopsis information has been added to this title. Help improve our database by adding a synopsis here.;;
72;Experiment;https://myanimelist.net/anime/33114/Experiment;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;experiment;Movie;1;Finished Airing;1997;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;3 min.;G - All Ages;4.97;#13053;#14878;460;0;;;;[];A short film by Tsuji Naoyuki that blends stop motion with 2D drawn animation.;;
73;New York Trip;https://myanimelist.net/anime/30327/New_York_Trip;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ニューヨーク・トリップ;Movie;1;Finished Airing;1970;['Takun Manga Box'];None found, add some;None found, add some;Unknown;Avant Garde;4 min.;R+ - Mild Nudity;4.71;#13380;#14869;461;0;;;;[];Furukawa Taku film.;;
74;Takoyaki Story;https://myanimelist.net/anime/38961/Takoyaki_Story;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;たこやきストーリー;Music;1;Finished Airing;Oct 10, 2018;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;1 min.;R+ - Mild Nudity;4.76;#13330;#14872;460;0;;;;[];"Music video directed by Sawako Kabuki for the song TAKOYAKI STORY by 1980YEN in the album ""FAST FOOD.""";Takoyaki Monogatari;Music
75;Jinkou no Rakuen;https://myanimelist.net/anime/30664/Jinkou_no_Rakuen;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;人工の楽園;Movie;1;Finished Airing;1975;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;14 min.;R+ - Mild Nudity;4.67;#13428;#14901;458;0;;;;[];Psychedelic –and at times sinister– music by Shinpei Kikuchi accompanies a disorienting display of reproduced imagery taken from magazines and posters of sunny beaches and bikini models. Tanaami made positive and negative reprographic prints of these images onto transparent cel sheets, placed them on top of one another, and twisted them in different directions to create a moiré effect. Speaking on the work, Tanaami explained his paradise only exists in the world of reproduction.  (Source: Collaborative Cataloging Japan);;
76;Motion Lumine;https://myanimelist.net/anime/30331/Motion_Lumine;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;モーション・ルミネ;Movie;1;Finished Airing;1978;['Takun Manga Box'];None found, add some;None found, add some;Unknown;Avant Garde;2 min.;G - All Ages;4.50;#13538;#14894;458;0;;;;[];Furukawa Taku film.;;
77;Nowhereland;https://myanimelist.net/anime/36158/Nowhereland;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Nowhereland;Music;1;Finished Airing;Nov 1, 2016;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;3 min.;R+ - Mild Nudity;4.98;#13036;#14924;455;1;;;;[];Official music video for the international multinational band The Hotpantz' song Nowhereland.;The Hotpantz, Nowhereland [type A];Music
78;Why;https://myanimelist.net/anime/30559/Why;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;Movie;1;Finished Airing;1975;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;10 min.;G - All Ages;4.83;#13253;#14928;455;1;;;;[];A boxing ring turns into a stage for abstract animation where the punches thrown in the match and the halftone dots in reprographics gradually become indistinguishable. Tanaami shot a boxing match on a Motordrive camera, made two thousand offset prints, and rephotographed each of them. He explains his inspiration for the work being the experience of watching a boxing match on television but finding the newspaper print the next morning better capturing the exhilaration of the sport.  (Source: Collaborative Cataloging Japan);;
79;Ushi Atama;https://myanimelist.net/anime/30326/Ushi_Atama;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;牛頭;Movie;1;Finished Airing;1968;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;3 min.;G - All Ages;4.54;#13519;#14941;454;0;;;;[];Furukawa Taku film.;;
80;Mac the Movie;https://myanimelist.net/anime/30337/Mac_the_Movie;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;マック･ザ･ムービー;Movie;1;Finished Airing;1985;['Takun Manga Box'];None found, add some;None found, add some;Original;Avant Garde;3 min.;G - All Ages;4.46;#13560;#14961;451;0;;;;[];Furukawa Taku film.;;
81;Clock;https://myanimelist.net/anime/25969/Clock;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;CLOCK;Special;1;Finished Airing;1999;['None found', 'add some'];None found, add some;RG Animation Studios;Original;Avant Garde;1 min.;G - All Ages;4.83;#13244;#14974;449;0;;;;[];A bizarre short about a man who wakes up by a bunch of clocks only to act as a cuckoo clock for a room full of chickens at a bar.;;
82;Sakana no Iu Koto wo Kiku;https://myanimelist.net/anime/34634/Sakana_no_Iu_Koto_wo_Kiku;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;魚のいうことを聞く;Movie;1;Finished Airing;2013;['Geidai Animation'];None found, add some;None found, add some;Original;;5 min.;PG-13 - Teens 13 or older;5.50;#11673;#14995;447;0;['Avant Garde', 'Drama'];;;[];A work completed by Onohana during her enrollment at the Tokyo University of the Arts. A young boy is compelled to release his pet fish into the sea.;;
83;Run & Roll;https://myanimelist.net/anime/33710/Run___Roll;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;Movie;1;Finished Airing;2013;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;1 min.;G - All Ages;4.45;#13565;#15013;445;0;;;;[];Run & Roll is a campaign film created by Keiichi Tanaami for the Kyoto Marathon by CW-X.;;
84;Souiu Megane;https://myanimelist.net/anime/30210/Souiu_Megane;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;そういう眼鏡;Movie;1;Finished Airing;2007;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;5 min.;G - All Ages;4.73;#13358;#15019;444;0;;;;[];"A material, an origin, a meaning, a value. When you have a question on glasses, let's answer ""Well, that's glasses"". Rio de Janeiro International Short Film Festival Best Film of The Young Jury.  (Source: Official website)";;
85;Shapeshifter;https://myanimelist.net/anime/40002/Shapeshifter;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Shapeshifter;Special;1;Finished Airing;Mar 26, 2019;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;30 sec.;G - All Ages;5.44;#11864;#15037;442;0;;;;[];Space Shower TV Station ID directed by Takashi Ohashi, with music by Tomggg.;Space Shower TV Station ID;Music
86;Ushinawareta Choushoku;https://myanimelist.net/anime/40171/Ushinawareta_Choushoku;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;失われた朝食;ONA;1;Finished Airing;Jan 13, 2015;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;6 min.;PG-13 - Teens 13 or older;5.87;#10127;#15054;439;2;;;;[];A businessman happily goes about his carefully prepared morning routine. One day, this routine is suddenly interrupted.;;Psychological
87;Utsukushii Hoshi;https://myanimelist.net/anime/30330/Utsukushii_Hoshi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;美しい星;Movie;1;Finished Airing;1974;['Takun Manga Box'];None found, add some;None found, add some;Unknown;Avant Garde;3 min.;G - All Ages;5.01;#12988;#15066;438;2;;;;[];Furukawa Taku film made for UNICEF.;;
88;Haruko no Bouken;https://myanimelist.net/anime/31583/Haruko_no_Bouken;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;春子の冒険;Movie;1;Finished Airing;1990;['None found', 'add some'];None found, add some;None found, add some;Unknown;Avant Garde;14 min.;PG-13 - Teens 13 or older;5.19;#12609;#15071;437;1;;;;[];Short film by Kurosaka Keita.;;
89;Tanaami Keiichi no Shouzou;https://myanimelist.net/anime/22171/Tanaami_Keiichi_no_Shouzou;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;田名網敬一の肖像;Movie;1;Finished Airing;2003;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;3 min.;PG-13 - Teens 13 or older;4.74;#13355;#15095;435;0;;;;[];No synopsis information has been added to this title. Help improve our database by adding a synopsis here.;;
90;Venus;https://myanimelist.net/anime/31269/Venus;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ビーナス;Movie;1;Finished Airing;1990;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;5 min.;G - All Ages;4.77;#13324;#15100;434;0;;;;[];Film by Takashi Ito.;;
91;Kamakura;https://myanimelist.net/anime/28987/Kamakura;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;かまくら;Movie;1;Finished Airing;2013;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;5 min.;G - All Ages;5.39;#12054;#15107;433;0;;;;[];"""A snow-covered house is situated in the middle of a rice field. What should one do, in a space of white and quietude? By spring, the snowy hut melts and loses its appearance. The Japanese MA, the in-between state of time and space – an animation, a haiku""  (Source: Berlinale 2014 programme)";;Music
92;Land;https://myanimelist.net/anime/38970/Land;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Land;Movie;1;Finished Airing;Oct 9, 2013;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;3 min.;G - All Ages;5.66;#11018;#15109;434;1;;;;[];Short animation directed by Masanobu Hiraoka.;;Music
93;Hokori Inu no Hanashi;https://myanimelist.net/anime/32636/Hokori_Inu_no_Hanashi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ほこり犬のはなし;Movie;1;Finished Airing;2012;['Geidai Animation'];None found, add some;None found, add some;Original;Avant Garde;3 min.;G - All Ages;5.41;#11982;#15131;431;0;;;;[];Dogs all end up to be a dusty dog. Dogs’ dust consists of pride of themselves and that of you. The film is of the memory, love and gratitude of the dusty dog, and many other dogs, tracing their senses and memories, dedicating to you who gave love to them.  (Source: Official Site);;
94;Play Jazz;https://myanimelist.net/anime/30339/Play_Jazz;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;プレイ･ジャズ;Movie;1;Finished Airing;1987;['Takun Manga Box'];None found, add some;None found, add some;Original;Avant Garde;5 min.;G - All Ages;4.38;#13598;#15136;431;0;;;;[];Furukawa Taku film.;;
95;Tori;https://myanimelist.net/anime/30336/Tori;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;鳥;Movie;1;Finished Airing;1985;['Takun Manga Box'];None found, add some;None found, add some;Unknown;Avant Garde;3 min.;G - All Ages;5.04;#12939;#15162;429;0;;;;[];A short film by Furukawa Taku.  After a sleeping man is harassed by a bird, he becomes hell-bend on chasing it down and capturing it for revenge, but the bird turns out to be smarter than it looks.;;
96;Youshi Kei: Mou Hitotsu no Nijiiro Toshi;https://myanimelist.net/anime/30667/Youshi_Kei__Mou_Hitotsu_no_Nijiiro_Toshi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;幼視景（もう一つの虹色都市）;Movie;1;Finished Airing;1979;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;17 min.;R+ - Mild Nudity;4.89;#13175;#15163;429;0;;;;[];Film by Tanaami Keiichi.;;
97;Essential Free & Easy;https://myanimelist.net/anime/39650/Essential_Free___Easy;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;エッセンシャル FREE＆EASY;ONA;2;Finished Airing;Apr 1, 2019 to Jul 2, 2019;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;1 min. per ep.;G - All Ages;4.90;#13158;#15171;428;0;;;;[];An April Fools' style commercial commissioned by Kao Japan. Essential Free & Easy Cool Wax Shampoo and Conditioner are real products Kao Japan makes, they are meant to help remove hair wax from men's hair and condition the hair so it is more receptive to new wax when the hair is then dried and styled again. Takashi Taniguchi known for his bizarre animation style, animated the web commercial. It's a ballad of a man who is in pain from having to scrub out his hair wax every day and frustratingly pulls his hair as he has to restyle the next day. An anthropomorphic Essential Free & Easy Cool Wax Shampoo and Conditioner tell him to use them so that his pain can go away. He is very happy with the results.;;Music
98;Jikan;https://myanimelist.net/anime/29645/Jikan;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;時間;Movie;1;Finished Airing;1963;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;7 min.;G - All Ages;4.88;#13180;#15191;426;1;;;;[];Experimental animation by Manabe Hiroshi, member of the Animation Sannin no Kai pioneer group of independent animation.;;
99;Landscape;https://myanimelist.net/anime/30814/Landscape;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;LANDSCAPE;Movie;1;Finished Airing;2004;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;4 min.;G - All Ages;4.77;#13325;#15194;426;0;;;;[];A short animation by Keiichi Tanaami.;Land Scape;
0;Banana ga Suki;https://myanimelist.net/anime/38498/Banana_ga_Suki;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;バナナが好き;Music;1;Finished Airing;Oct 10, 2018;['None found', 'add some'];None found, add some;Saigo no Shudan;Original;Avant Garde;['Music', 'Space'];3 min.;G - All Ages;4.74;#13352;#15212;424;0;;;[];A short music video for Yano Akiko & Yuki's song Banana ga Suki. It promotes the single's release in 2 weeks and the video was posted to Victor Entertainment's official YouTube channel.;;
1;Landmark;https://myanimelist.net/anime/29971/Landmark;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;landmark;ONA;1;Finished Airing;2007;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;4 min.;G - All Ages;4.22;#13644;#15219;424;0;;;[];Short animation by Taro Shinkai.;;
2;Memories: Younenki no Joukei;https://myanimelist.net/anime/30666/Memories__Younenki_no_Joukei;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;メモリーズ 幼年期の情景;Movie;1;Finished Airing;2002;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;3 min.;G - All Ages;4.46;#13562;#15227;423;0;;;[];Film by Tanaami Keiichi.;;
3;Adobe Student and Teacher Edition;https://myanimelist.net/anime/38510/Adobe_Student_and_Teacher_Edition;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ADOBE STUDENT AND TEACHER EDITION;Special;1;Finished Airing;Dec 2009;['None found', 'add some'];None found, add some;Saigo no Shudan;Original;Avant Garde;;31 sec.;G - All Ages;5.08;#12862;#15234;422;3;;;[];Saigo no Shudan's earliest work, it is a commercial for Adobe's Student and Teacher Edition software. Though it is unknown if Saigo no Shudan created it as an example for their portfolio or if Adobe actually paid for their animation services.;ADOBE student pack CM;
4;Taku Boda;https://myanimelist.net/anime/30404/Taku_Boda;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;タクボーダ;Movie;1;Finished Airing;2009;['None found', 'add some'];None found, add some;None found, add some;Unknown;Avant Garde;;3 min.;G - All Ages;4.85;#13231;#15262;420;0;;;[];A short animation by Taku Furukawa and CG animator Noriyuki Boda.;Nice to See You Re-Mix;
5;Kage no Kodomo;https://myanimelist.net/anime/7856/Kage_no_Kodomo;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;影の子供;Movie;1;Finished Airing;2006;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;18 min.;PG-13 - Teens 13 or older;N/A;#20347;#15308;415;0;;;[];A boy and his sister are nearly eaten by their father and they rush out of the house. They run away in their father’s car and wind up in the wilderness, where they meet a Giant and a Witch. This animation film in black & white charcoal drawings uses the sound of a bass guitar and combines a Japanese Manga feel with a fairy tale by the Brothers Grimm.;;
6;Mimizu Monogatari;https://myanimelist.net/anime/31582/Mimizu_Monogatari;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;みみず物語;Movie;1;Finished Airing;1989;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;14 min.;G - All Ages;4.98;#13033;#15370;409;0;;;[];Short film by Kurosaka Keita.;;
7;Ice Fist;https://myanimelist.net/anime/36096/Ice_Fist;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ice fist;Music;1;Finished Airing;May 2, 2014;['Virgin Babylon Records'];None found, add some;Onionskin;Music;Avant Garde;;5 min.;PG-13 - Teens 13 or older;5.00;#12999;#15378;408;0;;;[];"A music video for Vampillia's song ""Ice Fist.""";Vampillia, My Beautiful Twisted Nightmares in Aurora Rainbow Darkness;Music
8;Yubi no Sukima-chan;https://myanimelist.net/anime/43419/Yubi_no_Sukima-chan;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;指のすきまちゃん;Movie;1;Finished Airing;2009;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;3 min.;G - All Ages;5.09;#12853;#15394;407;0;;;[];An experimental film by Tarafu Otani about hands.;;Music
9;Portrait;https://myanimelist.net/anime/30335/Portrait;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ポートレート;Movie;1;Finished Airing;1983;['Takun Manga Box'];None found, add some;None found, add some;Unknown;Avant Garde;;4 min.;G - All Ages;4.59;#13495;#15449;400;0;;;[];Furukawa Taku film.;;
10;A Sea Doesn't Tell Much;https://myanimelist.net/anime/41449/A_Sea_Doesnt_Tell_Much;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;A sea doesn't tell much;Movie;1;Finished Airing;2008;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;5 min.;G - All Ages;4.54;#13520;#15458;399;0;;;[];A minimalistic and fun animation displaying a face submerged in water. As different objects and situations show up, the face reacts using its mouth and different expressions. Soon, the face meets a companion. Before melting away.;;Music
11;S=13;https://myanimelist.net/anime/42246/S_13;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;S＝13;Movie;1;Finished Airing;Dec 1984;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;4 min.;G - All Ages;4.90;#13150;#15467;399;1;;;[];An abstract short film by Nobuhiro Aihara that combines the movement of abstract lines and the motif of an apple.;;
12;Toumei Ningen;https://myanimelist.net/anime/29667/Toumei_Ningen;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;透明人間;Movie;1;Finished Airing;1969;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;5 min.;G - All Ages;5.16;#12692;#15468;399;0;;;[];Independent animation by Shimamura Tatsuo.;;
13;Age of Obscure: Boubaku Jidai;https://myanimelist.net/anime/34436/Age_of_Obscure__Boubaku_Jidai;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;AGE OF OBSCURE 茫漠時代;Movie;1;Finished Airing;2016;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;3 min.;G - All Ages;5.38;#12076;#15475;398;0;;;[];Short film by Mirai Mizue and Onohana with music by Twoth.;;
14;Fast Week;https://myanimelist.net/anime/40204/Fast_Week;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Fast Week;ONA;1;Finished Airing;Feb 15, 2015;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;1 min.;PG-13 - Teens 13 or older;5.23;#12521;#15478;398;0;;;[];The genesis of fast food.;;
15;Nameless Flipbook;https://myanimelist.net/anime/37527/Nameless_Flipbook;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Nameless Flipbook;ONA;1;Finished Airing;Oct 21, 2009;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;2 min.;G - All Ages;5.16;#12696;#15490;397;0;;;[];A short made for the stage event BIBLO held by the University of Tokyo, to be preformed by the dance group WISH. Though the director states that the performance will be slightly different from the animated video.;;
16;Shashinki;https://myanimelist.net/anime/31264/Shashinki;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;写真記;Movie;1;Finished Airing;1986;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;3 min.;G - All Ages;4.79;#13290;#15495;397;0;;;[];Film by Takashi Ito.;;
17;In the Sea and near a Girl.;https://myanimelist.net/anime/39179/In_the_Sea_and_near_a_Girl;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;in the sea and near a girl.;ONA;1;Finished Airing;Aug 19, 2014;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;1 min.;G - All Ages;5.51;#11651;#15507;396;0;;;[];Short animation by Masanobu Hiraoka with music and sound design by Aimar Molero.;;Music
18;Henkei Sakuhin Dai 1-ban;https://myanimelist.net/anime/31584/Henkei_Sakuhin_Dai_1-ban;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;変形作品第１番;Movie;1;Finished Airing;1984;['None found', 'add some'];None found, add some;None found, add some;Unknown;Avant Garde;;16 min.;G - All Ages;4.96;#13066;#15529;394;0;;;[];Short film by Kurosaka Keita.;;
