;title;link;preliminary
15;Yahari Ore no Seishun Love Comedy wa Machigatteiru.;https://myanimelist.net/anime/14813/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru;off
31;Kimetsu no Yaiba Movie: Mugen Ressha-hen;https://myanimelist.net/anime/40456/Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen;off
53;Durarara!!;https://myanimelist.net/anime/6746/Durarara;off
18;Bakemonogatari;https://myanimelist.net/anime/5081/Bakemonogatari;off
1;Haikyuu!! Second Season;https://myanimelist.net/anime/28891/Haikyuu_Second_Season;off
16;Ansatsu Kyoushitsu 2nd Season;https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season;off
17;Tensei shitara Slime Datta Ken;https://myanimelist.net/anime/37430/Tensei_shitara_Slime_Datta_Ken;off
21;Vinland Saga;https://myanimelist.net/anime/37521/Vinland_Saga;off
6;Hyouka;https://myanimelist.net/anime/12189/Hyouka;off
19;Spy x Family;https://myanimelist.net/anime/50265/Spy_x_Family;off
18;Chuunibyou demo Koi ga Shitai!;https://myanimelist.net/anime/14741/Chuunibyou_demo_Koi_ga_Shitai;off
58;Bungou Stray Dogs;https://myanimelist.net/anime/31478/Bungou_Stray_Dogs;off
11;Made in Abyss;https://myanimelist.net/anime/34599/Made_in_Abyss;off
59;Owari no Seraph;https://myanimelist.net/anime/26243/Owari_no_Seraph;off
20;Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen;https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen;off
34;Howl no Ugoku Shiro;https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro;off
60;Enen no Shouboutai;https://myanimelist.net/anime/38671/Enen_no_Shouboutai;off
14;Mahou Shoujo Madoka★Magica;https://myanimelist.net/anime/9756/Mahou_Shoujo_Madoka%E2%98%85Magica;off
13;Horimiya;https://myanimelist.net/anime/42897/Horimiya;off
35;Chainsaw Man;https://myanimelist.net/anime/44511/Chainsaw_Man;off
32;Sakura-sou no Pet na Kanojo;https://myanimelist.net/anime/13759/Sakura-sou_no_Pet_na_Kanojo;off
21;Kaichou wa Maid-sama!;https://myanimelist.net/anime/7054/Kaichou_wa_Maid-sama;off
12;Deadman Wonderland;https://myanimelist.net/anime/6880/Deadman_Wonderland;off
36;Kimetsu no Yaiba: Yuukaku-hen;https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen;off
37;Mononoke Hime;https://myanimelist.net/anime/164/Mononoke_Hime;off
22;Samurai Champloo;https://myanimelist.net/anime/205/Samurai_Champloo;off
13;Guilty Crown;https://myanimelist.net/anime/10793/Guilty_Crown;off
38;Kobayashi-san Chi no Maid Dragon;https://myanimelist.net/anime/33206/Kobayashi-san_Chi_no_Maid_Dragon;off
23;Dragon Ball Z;https://myanimelist.net/anime/813/Dragon_Ball_Z;off
2;Kuroko no Basket;https://myanimelist.net/anime/11771/Kuroko_no_Basket;off
23;Clannad: After Story;https://myanimelist.net/anime/4181/Clannad__After_Story;off
27;JoJo no Kimyou na Bouken Part 3: Stardust Crusaders;https://myanimelist.net/anime/20899/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders;off
24;Kuroshitsuji;https://myanimelist.net/anime/4898/Kuroshitsuji;off
36;Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e;https://myanimelist.net/anime/35507/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e;off
28;Dororo;https://myanimelist.net/anime/37520/Dororo;off
